A830082N09Rik
Atp5k
C1qb
C1qc
Camk2n1
Cck
Cldn11
Crip2
Cryab
Cst3
Ctss
Fam107a
Fzd2
Gpr6
Gstm1
Hist1h2bc
Hpca
Igfbp2
Itpka
Lars2
Marcks
Mfge8
Mgp
mt-Rnr2
Nbl1
Npy
Nrgn
Pcolce
Pdyn
Penk
Ppp1r1b
Ptgds
Ptms
Rbp1
Rgcc
Scrg1
Serpinh1
Slc17a7
Srgn
Sst
Tac1
Taldo1
Tmem158
Vtn
Zbtb18
Cartpt
Ctxn1
Mchr1
Prss12
CT010467.1
Ly6a
Islr
Limd2
mt-Rnr1
Caly
Rplp2
Smpdl3b
Tomm7
Cnpy2
Id2
Ngef
S1pr1
Sem1
Bdnf
Med28
Purb
Rab5c
Sf3b5
Emd
Aldh1a2
Dynll1
Slc9a3r1
Gpd1
5730409E04Rik
Cavin1
Slc30a3
Hadh
Nfil3
Tnfaip6
Wfdc1
Acta2
Anp32a
Ptn
Ttc9b
Tmsb4x
Lmcd1
Lamp5
Apod
Hint2
Marc2
Nsg2
Stx1a
Cldn5
Shb
Sod1
Sod3
Chmp2a
Ldha
Med18
Mir6236
Rhob
Rps20
Ndufa2
Dynll2
Olfml2b
Trim30a
Dio2
Ndufa7
Rras
D8Ertd738e
Rps21
Kcna5
Dhrs7
Rras2
Gpx4
Serping1
Sspn
mt-Nd4
Tmem50a
Egr4
Zfp503
Anxa2
Nr4a2
Sparc
Zic2
S100a16
Tpm1
Rps8
Rnase4
Aox3
Rps3a1
Pdap1
Slc6a13
Klf5
Gtf2h5
Itm2c
Hist1h1c
Smpdl3a
mt-Nd2
Arhgap15
Ddit4l
Fxyd5
Ndufb7
Fmod
AC127249.1
Rps11
Grasp
Eid2
Ly6c1
Olfml3
Vim
Nfam1
Mn1
Uqcr10
Kcnv1
Nat14
Rpl8
Tmem258
Ubald2
Sox18
Asb2
Selenof
Cox7a2
Ifitm3
Syndig1l
Crlf2
Klf16
Rps9
2410006H16Rik
C130074G19Rik
mt-Nd1
Egr1
Rps15
Gemin2
Tie1
Ndufc1
Serp2
Psma7
Uqcrq
Lmo4
Selenow
Nrros
Tmem223
Atg101
Hnrnpa0
Dbndd2
Enpp1
Bex3
Calm3
Cp
Bag1
Timm22
Spr
Slc22a8
Atp5e
Sap30l
Zfp189
Cdc42ep4
Rap2b
Trappc5
Tceal3
Cxcl12
Edf1
Cplx2
Hs3st4
Naalad2
Ctsz
Ccnd1
Ogn
Enc1
Tbr1
Adora2a
Kctd1
Prdx1
Arpc2
Nhp2
Pon2
Lpar1
Ndufa3
Vxn
Id1
Rpl32
6330403K07Rik
Cdk5r1
Trim47
Rwdd1
Nsmce1
Mal
Tm4sf1
Mapk3
Snapc2
Bex2
Gpc4
Polr2f
Dcn
Ctsc
Ephx1
Hsd17b11
Hes1
Slc13a4
Ndufa5
Pet100
Mfsd2a
Zfp626
Nol12
Rpsa
Ctsh
Dnah8
Cdkn1b
Ubb
Fam98b
Cstad
Arl6ip5
Rpl26
Nfatc1
Pou3f4
Satb2
Tmem222
Tmed3
Sub1
Sema7a
Pfdn5
Inka2
Col1a2
Cdkn1a
Lmntd1
Alyref
Tfap4
Ndufs6
Foxo3
Vps36
Txn1
Six3
Lrp8os2
B2m
Id3
Sowaha
Etv5
Ubl5
Gstm5
Arhgdia
Adgra2
Ap1s1
H2-K1
Arf5
Calm2
Stk17b
Ppp1r11
Zmat2
Kcnf1
Cox6a1
Rpl37a
Rpl41
Ppp1r9b
Glul
Fam3c
Ddn
Actb
E130102H24Rik
Nedd8
4931414P19Rik
Paip2b
Ndufa4
Ndufb1-ps
Gpr27
Tmbim6
Syf2
Timm17b
Junb
Dusp14
Ncoa6
Selenot
Lman1
Anxa3
Uqcrh
Rest
Casp6
Rplp1
Rps5
Acaa2
Orai3
Foxk1
Cox8a
Fkbp9
Cox5b
Zfp703
Mydgf
Hrk
Ammecr1
Thy1
H2afv
Park7
Abi3
Tmem14c
Aqp11
Pgls
Psmb10
H2afj
Adamtsl2
Trim68
Rex1bd
Axl
Cald1
Tspan14
Ybx3
Atp5g1
Sfxn2
Fkbp1a
Olig1
Wdr74
Ensa
Stum
Hint1
Ndufb3
Rcsd1
Chd1
Ociad1
Atp5j2
Cys1
Baiap2
Zbtb39
Hexim1
Usmg5
Fam76a
Rtf1
Ndufc2
Cox6c
Rabac1
Setdb2
Fhl2
Eps8l2
Psmb5
Ier5l
Supt4a
Lhfpl2
Brk1
Ndufa11
Rps24
Lxn
Gm2a
Dad1
Jpt1
Laptm4a
Mal2
Gpr85
H3f3b
Fam32a
Cops9
Med22
Chst1
Sra1
Esf1
Zfp119a
Usf1
Lix1l
Ubald1
Psap
Rab9
Thbd
Plekhf2
Ndufb8
Rfc5
Myl6
Heyl
Fbll1
Klf4
Prss23
Hspa2
Agap2
Laptm5
Phf5a
Il34
Mrpl13
Srp19
Ddx6
Pmepa1
Tsc22d1
Icosl
Gzf1
Rpp21
Aldh1a1
Vhl
Ppil1
Rcn1
Atp1a2
Bmp7
Aif1l
Cetn2
