Dnah9
Arsg
6330409D20Rik
Khdrbs3
Slc22a15
Cand2
Bicd2
Hat1
Cfap74
Tada2a
Zc3h14
Ncoa2
Ppp2r2d
Klc1
Atg7
Ppp6r2
Tmc4
Ppp6r3
Hif1an
Tbc1d19
L3mbtl1
Tex9
Shroom3
Babam2
Hif3a
Mir124a-1hg
Stk4
Brd4
Hikeshi
Mrpl48
Slc35a3
Cdh4
Mgat3
Serpine2
Ccdc30
Cdkl2
Prdm11
Rnaseh2c
Iqub
Recql5
Uck1
Cfap69
Ppara
Pusl1
Tsc2
Klc4
Sdsl
Ttbk1
Mob2
Scarna2
Wbp1l
Traf3ip2
Fam57b
Tlk2
Itpr1
Kif3a
Prcc
Impa2
Ncmap
Drp2
Bicral
Pnpla3
Arid1b
Washc1
Fmn1
Ipmk
Lhfpl4
Pcyox1l
Unc79
Smap2
Nop56
Csmd1
Zfp740
Pigz
Ppa1
Dok7
Ankrd11
Brsk1
Xpc
Stim1
Pomgnt2
Papola
Tbc1d23
Dcaf17
Asb7
Lemd2
Gtf2ird1
Cadm3
Mns1
Akt2
Senp1
Zfp507
Lhx2
Neil1
Azin2
Rabgef1
Nudt13
Fbxo36
Smim20
Sugp1
Lrrtm4
Etfa
Cwc22
Scfd2
Slc27a4
Phf20
Bicd1
Khdc4
Gramd1c
Gemin8
Abhd17b
Il4i1
Qsox1
E230016M11Rik
Nasp
Lmnb2
Tfam
Capn10
Nsmf
Dot1l
Nars2
Rreb1
Pibf1
Eef1e1
Zfp454
Galns
Adgra1
Uckl1
Snx27
Rad51c
Fam173b
Rai2
Brd3
Dffa
Mfap3
Ica1
Trub2
Ccdc191
Mapk4
Prrg3
Vat1l
Rasa4
Chd9
Ccdc184
Ccdc77
Npl
Rpusd3
Fbxl2
Glb1l
D230025D16Rik
Zfp704
Tial1
Dpysl2
Pcsk4
Tnip1
Nrd1
Nup210
Ldb3
Pttg1
Stk38
Asap1
Ankrd39
St8sia3os
Zzef1
Noc3l
Dpyd
4933431E20Rik
Slc25a26
Fam98c
Plxna3
Atg4d
Usp12
Gls2
Mphosph9
Parp16
Rbms3
Sec24a
Arih2
A230056P14Rik
Acot7
Pnldc1
Ccdc149
Gfm2
Vps45
Gtf2e1
Srgap3
Yipf1
Tbc1d22a
Tmem39a
Pigq
Fut9
Psma3
Tmco3
L3mbtl3
Adssl1
Aasdh
Bbof1
Safb
Nphp4
Sptb
Adamtsl1
6330411D24Rik
Prune2
Pik3ca
Rora
Spag4
Nek11
Traip
Bcas1
Tom1l1
Wwp1
Ube2d2a
E130308A19Rik
Cdk7
Gpr68
Dnhd1
Macrod1
Zfp362
Grk3
Tatdn3
Armc9
Bid
Dcaf8
Unc5b
6030443J06Rik
Cacnb4
Rev1
Herc3
Btbd3
Acad10
Tbc1d24
Chst12
Fars2
Slc12a5
Usp37
Asap2
Eme2
Pex3
Dffb
Map3k15
Rrs1
Zfp846
Baz2b
Thpo
Ankrd54
Usb1
Lrrc28
Odf2l
Pnkp
Rcc1l
Rad17
Wdr90
Gtpbp3
Adck2
Uggt2
Capn15
Zfp599
Nek9
Evpl
Ccl25
Tmem219
Golga4
Prr36
Trappc6b
Sgcd
Spred3
Rnps1
1810030O07Rik
Helz
Mvk
9330159M07Rik
4930556J24Rik
Scn1a
Tmem94
Pcbp4
Abca5
Asxl2
Tha1
Ttc27
Cds1
Mtfr1l
Tctex1d1
Cep152
Stam
Smim17
Angel1
H2afy
Tanc2
Fcnaos
Ggact
Prelid3a
Ttll5
Pou2f1
Rnf145
Dlec1
Kctd9
Sorbs2os
Ttc38
Gtf2f2
Araf
Grm5
Herc4
Zfp251
Tprkb
Tk2
Kdm4b
Htt
Ccdc138
Tubgcp6
Plekhh1
Pced1b
Fam71e1
Rccd1
Klhdc4
Bend6
Cdh13
Pcgf5
Arih1
Appl2
Fbxo42
Slc8a3
Pus10
Dlx2
Agap1
Cacna1b
Pdcd7
Pcca
Wdr73
Myo18a
Mpv17l
Plvap
Taf6
Exoc1
Ppfibp2
Srcin1
Cars
Ccdc39
Zfp277
Celf4
Sipa1l3
Mark2
Ube2d1
Myt1l
Mrm3
Tbcd
Slx4
Zbtb7b
Dnah2
Trmt1
Tm6sf1
P4htm
Ift88
Prox2os
Tunar
Kctd7
Man2a1
Pum3
Snrnp70
Fmnl2
2700049A03Rik
Fndc3a
Uqcc1
Slx4ip
Nudcd1
Fgf10
Birc6
Dtx2
Ubr4
Dhx37
Dusp26
Ifrd2
Zfp385b
Ntrk3
Trap1
Enpp6
C2cd3
Dcaf4
Homez
Brinp2
Gtdc1
Acad11
Accs
Ola1
Tada1
Zeb1
Srpk2
9530059O14Rik
Camsap1
Gpatch8
Hnrnpr
Mpp3
Ift52
Slc35f4
Fnta
Ptcd1
Tshr
Dnah14
Mlxip
Agk
Arhgef33
Dyrk1a
Mark4
Pdhb
Gpr176
Katnb1
Itgad
Kat2b
Hecw2
Smg9
Mfhas1
Tiam1
Mgat5
P4ha2
St8sia2
Wdr3
Rpn2
Zwilch
Prmt2
Hbs1l
Palld
Socs7
Nkiras2
Uros
March10
E130307A14Rik
Casp3
Tpst1
Kdm4a
Nudt6
Colq
Ttc17
Chd6
Map3k13
Vopp1
Deaf1
Nt5dc3
Snx30
Hells
Tatdn1
Orc5
Zdhhc4
Acrbp
Syt7
Zyg11b
Tanc1
Enah
Fubp3
Slc30a9
Pfkfb4
Primpol
Zfp618
4930458D05Rik
Platr25
Lrrtm3
Pafah2
Ccdc93
Nedd4l
Dsc3
Plod3
Cttn
Cblb
Cdh11
Aaas
Kidins220
B4galt2
Ski
Nadsyn1
Rhbdd3
Fhit
L3mbtl4
Socs2
Acadvl
Zfp933
Suds3
Zcchc7
Atcay
Nmt2
Rttn
Dazap1
Prrt1
AC060761.1
Dgkd
Acad8
Mfn1
1110020A21Rik
Cdk14
Dnmt1
Lars
Xrcc6
Vamp9
1110051M20Rik
Plpp1
Rabgap1
Mettl13
Vps13d
Ep400
Stk32a
Ints3
Lmtk3
Tomm40
Prkcb
Timm50
Rcvrn
Cacna1e
Cisd2
Ank3
Etv4
Tmem189
Prpf40b
Grid2
Snap47
Plekhd1
Gpr108
Phf24
Zfpm2
Drc3
Hdac11
Gys1
Erich6
Prr12
Sestd1
Fbxw8
Ppp2r2b
Dcaf6
Bace1
Gnpat
Plpbp
Rabgap1l
Blm
Glra2
Akap8l
Esrrg
Decr1
Adck1
Acadsb
Cfap300
Far2
Serac1
Gga2
Mtmr3
Unc5d
Zfp783
Ankrd10
Catsperg1
Nup35
Pam
Ttc7b
9330159F19Rik
Sh3glb2
Vac14
Pofut1
Rpap2
Akr1e1
Bcl9
Plekhg1
Gabra4
