Ogn
Cxcl12
Slc22a8
Tie1
Ifitm3
Asb2
Sox18
Vim
Ly6c1
Anxa2
Serping1
Stk24
Cldn5
Acta2
Wfdc1
Cavin1
Ly6a
Mgp
Pcolce
Srgn
Vtn
