Elovl7
Otx2
Ulk2
Trim23
Klhl21
Neb
Pias1
Fkbp15
Ldlr
Pdcd6ip
Rad18
Gpr160
Pald1
Tm9sf2
Cfap65
Drc1
Klhl4
Virma
Kbtbd7
Enpp2
Ldlrad3
Atg4a
Mdh1b
Map10
St8sia4
Dpp8
Ret
Eogt
4933407K13Rik
Myo1d
Zgrf1
Msn
Itprid2
Trim25
Zfp946
Acly
Eif5a2
Polk
Zfp964
2610507I01Rik
Pipox
