"","SYMBOL","SST_IP_AMPH2","SST_IP_AMPH2.1","SST_IP_AMPH3","SST_IP_AMPH2.2","SST_IP_SAL1","SST_IP_SAL2","SST_IP_SAL4","SST_IP_SAL4.1","SST_UF_AMPH2","SST_UF_AMPH2.1","SST_UF_AMPH3","SST_UF_AMPH2.2","SST_UF_SAL1","SST_UF_SAL2","SST_UF_SAL4","SST_UF_SAL4.1"
"3","0610009B22Rik",8.11280629829237,8.32086461173727,8.26491775879746,8.3495921346265,8.2458658688149,8.36844276593936,8.22347412067454,8.34432612917479,8.19169172203425,8.18200680479657,8.02459622715155,8.21021860250768,8.20063784097982,8.09675877711532,7.9988735310134,7.99443356397898
"4","0610009E02Rik",9.16259340904409,9.2262943490003,9.13962694360327,9.11130431340537,9.31302375720706,9.28187228694985,8.96696242625087,9.2078645905371,8.9223781955401,9.07177005838182,9.12010767569015,8.98188502304222,9.11000027266361,9.05166412459124,9.10957700541024,9.14941546166471
"5","0610009L18Rik",7.86861185632388,7.94555746812688,7.77242937960536,7.85666849496912,7.9497752710468,7.91507521672266,7.86780761976198,8.09580515193219,7.85061409611914,7.69904225375936,7.9587753437346,7.76650855012362,7.90833087712732,7.72891897270745,7.79967787835278,7.97715576538866
"6","0610010F05Rik",12.1285166249126,11.8620703670196,12.2135755545117,12.0202367402314,12.2840783074792,12.1707914792981,11.9369308227567,11.9501002666736,11.9226757796817,12.0146874084232,12.1595324432407,12.0337375977625,12.0757903909055,12.1855747545333,11.777884627176,11.8289461184341
"9","0610012G03Rik",8.21654478348219,8.32086461173727,8.20250394750091,8.44506937558971,8.19583781369506,8.25084809794758,8.08361037342561,8.2453218403737,8.02587485830683,8.18766518717339,8.08648605271768,8.04606796339387,8.10024672802424,7.99995688655972,8.22962469292832,8.25856328108508
"14","0610037L13Rik",9.8678487694418,10.0122698469089,9.82106587649634,9.89309911974886,9.97922858269352,9.94769168607748,10.0953358454122,10.0513394286056,9.93018686851858,9.81623069114625,9.87056397575711,10.025646480119,9.94125973909846,9.91262539631386,10.0208131154373,9.95049441841145
"17","0610040B10Rik",7.86861185632388,8.08097883236841,7.96796364310923,7.90076544111763,7.96895864116009,7.94692351943429,7.95973112695073,8.11650449307202,7.74929399833239,8.01023861161106,7.8043951329508,8.01797769000321,8.00236755891051,7.88547370271179,7.78906803047572,7.84699417444032
"18","0610040F04Rik",9.36784168164577,9.35419697998412,9.45146015623699,9.25637857390153,9.62031701212947,9.49687016446395,9.3074320166286,9.11999637287643,9.24710743665643,9.55900909180355,9.70826368930758,9.40469679281662,9.58250819462614,9.73921932023181,9.40703688398127,9.37145461893501
"19","0610040J01Rik",8.90697589647157,8.45510157925456,8.91383925856231,8.66810777745158,8.65523085735034,8.8326223387573,8.83552085171166,8.82653717200052,9.2765528617708,9.2257465168865,9.40188180722589,9.18698187367245,9.20420737582394,9.38717769249479,9.45310047154211,9.28753151381689
"20","0610043K17Rik",9.45817790459458,9.5897603406639,9.38082200048115,9.33563887219999,9.50583524232942,9.43979437296745,9.41924911063994,9.38819762184809,9.41494887221853,9.40786608884085,9.45350346957464,9.48434713958589,9.4104612609592,9.60477153913994,9.37074041475798,9.67961472075056
"27","1110002L01Rik",9.32132763311804,9.5328503010322,9.40239697070714,9.38956592180395,9.45915532172045,9.51022449446551,9.47836588328922,9.48183412201074,9.65254208778801,9.52967804548257,9.60681726375038,9.55130022917735,9.45900544017349,9.61788311133976,9.65369216185264,9.48972687193329
"30","1110004F10Rik",11.8422108942452,11.3168528364807,11.7883402011718,11.5147007278603,11.8216542894543,11.336040529728,11.6729115376972,11.5487292227091,10.7564720367199,10.8803487413894,10.8180796990173,10.8818943914787,10.8717516741855,10.9342777443648,10.681795766337,10.6374260745938
"33","1110008L16Rik",9.70440044740775,9.82956020937825,9.73252068554004,9.62256982689749,9.83026115803991,9.94282342786272,9.64572939381483,9.87195864179584,9.90476576454649,9.900552559646,10.007901078873,9.9073226359071,9.88821307259503,10.0492879136518,9.72340756716888,9.89186361549764
"34","1110008P14Rik",8.20707360955744,8.51455120473442,8.27355992013696,8.32082854452357,8.18038213556714,8.26840061911264,8.45082549065372,8.50584506313056,8.27841465531394,8.34051936034939,8.35231478470094,8.16152701669531,8.34555859697648,8.09675877711532,8.61102368608477,8.56923127612436
"35","1110012L19Rik",7.62881520485965,7.61046052120323,7.55833578143853,7.75335517455877,7.46655450471722,7.74736305424189,7.55318525444495,7.56276046321782,7.55545375370256,7.53547151709323,7.66651687256428,7.4673634111072,7.62143860330918,7.45294040985607,7.54363182288694,7.41590345670882
"37","1110015O18Rik",8.00375337164141,7.79814152094039,7.91515950542279,8.16505748250271,8.00626858475386,8.0721192496323,7.87580812784669,7.80813591470402,8.13734087745674,8.1056638002028,8.05599614026562,8.20544428740886,8.08257283593884,8.29897102056087,8.06542719775167,7.6958354134848
"38","1110017D15Rik",8.50694884034703,8.33780455004731,8.55545638382073,8.34484717934004,8.33071869200372,8.26257979317581,8.83205905184686,8.36644235374,8.39511805564435,8.48001996382759,8.63419573706825,8.40269199192303,8.4139667821466,8.28864093471799,8.84897882957023,8.41522023155899
"39","1110018N20Rik",8.09187608457445,8.30367373654369,8.1886657322461,8.24042574787495,8.25561057343359,8.29706873085233,8.3113746951886,8.40417388045292,8.45152558481002,8.21001516216677,8.4609731440649,8.41871380757827,8.5440568773027,8.42091997197021,8.39710226109938,8.48915868593932
"41","1110019D14Rik",10.4029518270957,10.0652157566029,10.1936140020827,10.038558380769,10.6458453531529,10.5904945353778,9.92546958754066,10.1641766235881,10.8207840535945,10.8864283062135,11.1147737832411,10.7444549405925,11.1671266602104,11.1514404293414,10.5860302691493,10.7735761063497
"42","1110020A21Rik",8.10239220029821,7.96152029912097,8.08147370935173,7.99656067581741,7.97527278357646,8.12623243727522,8.14662731539966,8.09580515193219,7.74929399833239,7.84397510424782,7.87361331686026,7.94725052359626,7.77225307429249,7.8546348008428,7.69932373675644,7.68397672714983
"47","1110032A03Rik",9.14025045905241,9.08505450486299,9.05937657403584,9.09563673843908,9.1493514014446,9.05765645452935,9.13421709929125,9.40548001559505,9.0894298045276,8.95024560279032,9.0699991482349,9.06821148126471,9.1202330326234,8.94292366838037,9.22140632111182,9.21709228508229
"48","1110032F04Rik",7.93233002373046,7.6777287468917,7.743926307386,8.05985584991458,7.53206173961379,7.83936212233943,7.72945157098428,7.74061569764506,7.50129447548041,7.52400660544924,7.47730143381951,7.57708700888712,7.53950816809054,7.53754497727519,7.36470129646237,7.73045676605343
"51","1110038B12Rik",8.39518366219668,8.81782379613519,8.57900883160666,8.75952772556887,8.44744743996489,8.68113170252487,8.4740959955667,8.49605431677236,7.98806479562692,8.28492055700855,8.24299717583095,8.3363417576575,8.11763408843473,8.17982257302055,8.37285260854834,8.16046242509419
"52","1110038F14Rik",8.07590516928096,8.25653488539471,8.14608126692046,8.23520725590541,8.20602358823627,8.0721192496323,8.3681406705481,8.25138853358613,8.28331537133167,8.07480390368388,8.33319213789957,8.14649059752558,8.16818445318697,8.2024452008608,8.36671154644372,8.24506256369432
"53","1110046J04Rik",8.91767330036334,8.83293723062589,8.92659921133183,8.89164669085901,8.83648351192556,8.94826411592925,8.82161782638082,8.78427639922912,8.57629023742035,8.47120910532401,8.66023971674944,8.62326933779243,8.53607080354933,8.59743030857067,8.4325728143187,8.37948953823901
"54","1110051M20Rik",12.5013831624939,12.3940837638045,12.4631242439738,12.2747248288449,12.648768745621,12.667273915852,12.2582331132963,12.4173740976067,12.7438338004451,12.7265388369175,12.9013881217831,12.6669679366272,12.7708648501796,12.8381012370663,12.5266840431225,12.6445072410323
"56","1110059E24Rik",10.4407409821605,10.3768298442928,10.4277631795545,10.5451118941046,10.5128764863899,10.5251283306002,10.3041041288284,10.2392227171224,10.6019939079833,10.6296474979828,10.6846880832311,10.525912882922,10.5822866692062,10.7462613292909,10.4218088692511,10.5453956399283
"57","1110059G10Rik",8.4733588070138,8.25050334720439,8.48196250104461,8.52535812945749,8.33525474188099,8.41543069917685,8.21774753574674,8.33310923939008,8.2734928775413,8.4307438292733,8.11026487183807,8.52161150501687,8.53607080354933,8.43015321772705,8.22266803364654,8.42107232921703
"59","1110065P20Rik",7.60245113337051,8.12926102690733,7.84649447448173,7.85666849496912,7.73346572677599,7.87375144220179,7.67146307453468,7.85349034218322,7.56582798824031,7.64153359724925,7.58809826516857,7.6812351608589,7.73907082743806,7.71073851858071,7.83079260672642,7.71906980486741
"61","1190002N15Rik",10.0046375699363,10.021758480841,9.96404080252689,10.1824960786771,10.0911709523064,10.1298254016337,9.62274386110617,9.91346067754687,9.98777886823187,9.98867757019059,9.91202139668914,10.1203730848467,10.0018498519067,9.9645267886664,9.78352172015215,10.1473160469497
"63","1190007I07Rik",9.00025968553976,8.46521466670825,8.67827147512302,8.78306227103426,9.12044373464388,8.74937895971867,8.51488899991806,8.79206383472911,8.97108969167883,8.49311734148149,8.68935963561376,8.95355045811832,8.91690297576861,8.80749958620851,8.46134918183589,8.70150616187707
"67","1300014J16Rik",7.70315864075829,7.69899099632816,7.66035825449599,7.62663986790427,7.55264699105895,7.69754484244393,7.6198659314051,7.63406518019528,7.60597987026155,7.54676148894101,7.44041014919785,7.51929198535772,7.57126196573918,7.53754497727519,7.41843879990595,7.60902710265868
"68","1300017J02Rik",8.18788676454424,8.16247638031047,8.15089516311317,8.04750061654394,8.01840921888694,8.22701397211161,8.1404881120873,8.29297441744739,8.09182055591413,8.31052428941134,8.03095225901744,8.25687897345263,8.16818445318697,8.23009378265757,8.17272059220326,8.39748938863745
"69","1500002C15Rik",7.68719962673146,7.59868268397109,7.57628707375765,7.59676066249619,7.78094805161054,7.68722567801481,7.63045017336158,7.59922173727643,7.30665974087851,7.5796505429252,7.4146375527428,7.39935143855211,7.47155511077933,7.30949260998173,7.51434952141065,7.4964395745056
"71","1500004A13Rik",11.5400198324357,11.4235931038877,11.534971142751,11.3407502366504,11.6916602401306,11.6981889582432,11.4845902115872,11.5756103357106,11.3762667260928,11.4272117717922,11.4043080009379,11.4382377292984,11.458972628969,11.71214400692,11.3495156701231,11.4866928712698
"73","1500009C09Rik",8.73189121895391,9.20942668224024,8.66589597659278,9.26335586901165,8.85744496378785,9.16446962600128,9.0458649461391,9.04531441460934,8.88986852076026,8.94721174520353,8.57649131696851,8.81932318034364,8.84045946575081,8.72686408766507,9.04996722244469,8.9730497215557
"74","1500009L16Rik",9.66806282861195,10.0011186351942,9.84851845641732,9.77801427081899,9.96343328099075,10.0172281299149,9.83219248507118,9.7681837399678,9.30975571571931,9.82105034967152,9.74489412338975,9.65306397268376,9.58976067397533,9.78627379511259,9.73650823303237,9.2542982121293
"75","1500011B03Rik",9.75287056186315,10.1598060863387,9.61217263434034,10.0225195043813,9.89425654888958,10.0079451187978,9.89717750400904,9.96367593013461,9.85840736379381,9.7720921934371,9.54940340511462,9.83535336271084,9.74531025674299,9.70811282314902,9.89653461890651,9.88411742389861
