genes_filt,SST_IP_AMPH1,SST_IP_AMPH2,SST_IP_AMPH3,SST_IP_AMPH4,SST_IP_SAL5,SST_IP_SAL7,SST_IP_SAL15,SST_IP_SAL16,SST_UF_AMPH11,SST_UF_AMPH12,SST_UF_AMPH13,SST_UF_AMPH14,SST_UF_SAL8,SST_UF_SAL10,SST_UF_SAL17,SST_UF_SAL18
Cyp3a13,2474.056713995883,4543.788922329644,2309.2904272207666,4631.936184207472,1079.6985262120165,4703.887038658689,1946.8989945966027,2341.717793943741,7250.064001105229,7511.447978720801,7559.2189249264775,5926.365543113199,6040.938593193582,13627.485780572622,6883.564163204605,6340.328405794195
Cyp46a1,62558.291196753045,104354.00269805145,64780.942063235154,75026.64410966057,61736.09535988833,68268.79019100232,95545.26994933111,109834.61806276604,74950.89312253693,69099.60833202532,58738.55755829754,71321.35613173078,66224.97256015895,67818.10388274492,103509.22640617486,91051.95921362573
Cyp4f13,2123.624954527365,1884.834692860135,2081.3064180349293,2217.3880252686026,1542.3694499755431,1708.1095767216939,2595.415529669466,2385.7716555669053,2822.0376649713726,3435.8426301335185,2328.988503747587,3318.7028493520934,2941.5612995753786,3093.3084980644057,3089.145789334888,3043.867392263243
Cyp4f14,235.12630001128701,498.7600863580447,331.25867967638277,404.4375568874601,344.17451258391037,293.3713903603199,890.4421758232523,625.9197365267928,1440.816101699559,1924.085417382235,1336.9544058001609,1753.8582934247452,825.9748125268344,984.1146402127108,1210.883379931639,1186.2982323737551
Cyp4f15,3291.155892085072,3249.4975323327158,3664.249090768103,3519.5696914849204,1394.15617778555,4380.197842185332,5330.004728578388,6205.298721289232,15983.095638800163,18195.85270981656,14901.764173069952,14257.345982395991,11735.121678561078,10392.225749266423,11478.624040215605,13248.644564607454
Cyp4f16,12863.717886778224,13787.153815754524,13270.922260327134,11653.029062563519,11536.259361236474,11233.330237558725,18212.14443700837,16405.058237349847,12569.916157760365,12487.433867221722,9768.814222230048,11352.453475444116,10414.735042161663,11083.00535287172,12847.944433820117,8258.895313002049
Cyp4f17,32260.76424735017,32579.31342721976,38794.31636018887,44226.150986310735,25718.62036483314,21326.68174422914,54510.69487797384,28476.003402689923,28446.816004336546,38300.60292966607,25508.595889081964,33704.2636096586,19777.600191632897,22181.393086524662,45311.07120935034,19417.86073591321
Cyp4v3,30.896474434093243,26.659907429919215,44.138093297616194,83.04112811003667,36.26064034992538,33.45364345872454,36.05775940821924,36.43083771796305,43.696471924392085,35.17662799391794,30.08984346460682,40.80486151671895,27.884405825828146,33.47480016996565,26.674373774212622,26.773300722851143
Cyp4x1,170.27909680445325,203.2156302863954,190.60674334345725,208.84212386510666,190.18678505013594,174.4580060004498,202.63887463211384,177.89602310622828,130.69216364368103,146.3156362852941,121.63559026057723,169.4324071042174,121.86549129680013,143.87082324574394,164.93610330944662,125.64410131010699
Cyp51,45499.35089161641,55540.362211981424,51821.094172826015,60046.03990043918,48870.78176468818,53422.63158777928,62073.50576251846,46292.33886495491,35364.816005391156,40656.633709251204,36001.67368010871,41894.81835331011,36023.486063331344,37929.10541130249,43164.75730996006,33267.36434902778
Cyp7b1,302842.0981245867,231077.50393158942,312702.8279581422,262745.8231968512,341132.9840268389,282426.91178581904,271964.6110246048,292576.9761374416,427469.459829871,398640.64481186646,445732.87242868333,392539.1217868289,458824.3201631261,461060.9250005708,356308.3702477276,435875.8218695075
Cyren,296.9908740871084,396.39813872575274,313.96593806477256,336.7400557665954,237.85965291810038,235.38253752417535,349.25168394027713,312.6894276667214,243.64113301841863,258.3493012364366,230.0897958103458,283.06061925914145,194.1403600844461,237.0127273996047,294.9602625911251,211.0145303560646
Cys1,508.7293271298301,652.7021780690973,594.2809248759603,727.3212756473637,418.611552794539,398.94556985502675,844.4718367806275,535.0189566533437,530.6232154579234,471.9445462234018,375.64496478186305,516.9870385071641,320.9184214926833,377.1469405218008,554.2969360672776,511.6166920841077
Cystm1,2749.8149976594746,3235.4220389140974,2865.092014201171,2513.293614172876,3200.3269306768266,3087.278213160277,3210.8358752239715,3093.3688393546513,2680.968935008079,2943.3127668672596,2499.8743394869207,2618.633266634388,2816.8307335265763,3148.2988930962915,2710.890520056067,2785.7399381992586
Cyth1,6528.906890261442,7030.675194808034,6682.04887048685,6351.310117655996,6092.0386434482425,6240.166643084413,7353.878578928675,7106.000376640864,6659.165801156893,6533.488598547726,6106.755530225337,6403.028531099453,5956.55639231826,5618.264681167108,6589.783922649311,6047.6018490324705
Cyth2,1279.8370334554884,1864.129717588159,1268.3479756021209,1599.194562575454,1128.503688463214,1335.3888811159857,1641.051498388473,1583.5887371451736,1220.566235056632,1240.0576268659165,1031.645733052239,1241.2012746883847,1050.5062279490323,928.6074026625681,1588.908175895211,1375.6219122154712
Cyth3,28745.97535625448,22749.34319950888,31843.20413485889,26582.665451532233,21682.67814963334,15896.046433927342,24596.309547272707,24984.40908875439,14653.298368430991,13166.523580658271,14912.950883859772,13223.131513958508,12754.978788168046,11845.76020270124,12888.659750687859,13336.4566246877
Cyth4,63.65608900286172,128.1641168747758,61.33016563406646,65.04242557981674,25.268846635962685,83.28392935604725,77.26149418474164,64.33590213861733,169.92777092229562,136.3503320933603,126.05484294851883,155.37054878640492,143.62578996085753,166.39951593403902,278.0191999371176,256.93461211373216
Cyyr1,822.8615726675812,274.96451980477923,865.388519030004,680.2325300863482,198.88092718668514,131.62585870303897,587.4111019131384,492.461097308295,99.07449846687803,63.99610115708849,84.49180611989127,85.26785255216467,32.62457166506876,85.55000211895945,122.58501550808822,151.2514814310553
D030024E09Rik,288.51448091226604,179.60084668054114,153.7845327284465,358.20981085951837,97.93005626422887,222.3064036475142,94.10189023582704,111.38856844095349,79.19239760901397,118.13862227592011,65.43924695152243,142.28709852817803,67.38096863810848,48.79068275100339,53.08223518797354,78.3162720431706
D030028A08Rik,37179.346189284755,63591.9110106507,44835.14216663389,43640.738281284976,35554.72356084222,47330.58431146495,56543.078164776525,39474.67138362306,33384.01563299617,34784.11811076231,23840.008036057607,38744.32411838301,34430.10797480278,37724.39454148725,43591.801677539006,40670.25773321358
