Rnf220
Synpo2
Grid2ip
Vav3
Il1rap
Ntng1
Grm8
Fam163a
Gabra3
Bmper
Ramp3
Inpp4b
Adarb1
Zfpm2
Nyap2
Prox1os
Mast4
A830082K12Rik
Psg16
Galnt17
Trpm3
Eepd1
Tcf7l2
Creb5
Tox
Asb18
Prima1
Sec14l5
Myt1
Ptpn4
Vmn2r86
Camk4
Plch1
Grin2c
Slitrk6
A330008L17Rik
Prkcd
Edil3
Ptpn3
Pvalb
Mei4
Raver2
Glra2
Ubash3b
AC122117.2
Fam19a4
Anln
Atp6ap1l
Cobl
Aspa
St18
Vmp1
Vmn2r87
Gli3
Bcas1
Lhx2
Spock1
Socs6
Fhdc1
Cpne9
Mccc2
Spon1
A930017M01Rik
Cdkl5
Syt9
Plekhh1
Ugt8a
Plekhg1
Gjc3
Sil1
Vmn2r85
Mbp
Chrna4
Mctp2
A230001M10Rik
Fggy
Gas2
Opalin
Nr2f1
Cstf3
Inpp5a
Cacnb2
4930488L21Rik
Megf11
Fgf13
Eps8
Pou6f2
Aff3
Rab37
Lnx1
Peli2
Arsg
Tdrd5
Shc3
Mobp
Naaladl2
Zfp423
Ryr3
Chst8
Dock10
Vmn2r84
Pcsk6
Plekhd1
Zranb3
Epm2a
Deptor
Acvr1c
Pag1
Ldb2
Pced1b
Pcolce2
Hdac9
Rsrc1
Tspear
C030029H02Rik
Dnajc24
St3gal4
Mog
Zfhx3
Stk32a
Tmem108
Crb1
Adam23
1700047M11Rik
Sh3gl2
Shisal1
4930420G21Rik
Gatb
Mipol1
D7Ertd443e
Nubpl
Gna12
Adk
Sytl2
Fbxl4
Gipc2
Kcnj12
Tln2
Hacd1
Mnat1
Pccb
Atp8a2
Cep126
Exph5
Tshz2
Slx4ip
Kcnn2
Stxbp4
Cnksr3
Esrrg
Gpr137c
Slc35f1
Dph6
Meis1
Slain1
Bcl2
Cox7b2
Rttn
Cacna1c
Gabrb1
Igsf11
Gabra4
Ppp2r3a
Cdh8
Ero1lb
Nup35
Zfp438
Ankfn1
9430041J12Rik
Synj2
1700112D23Rik
Cdk5rap2
Vangl1
1700094M23Rik
Nrep
B230118H07Rik
Agpat5
Lin28b
A330076C08Rik
Clybl
Reps1
Ppp4r4
Galnt13
Plekha5
Nbas
Cnnm2
Pcsk2
Efl1
Parp11
Scfd2
Apbb2
Fmn1
Palm2
Sorcs1
Nlgn1
Apba1
Nipal2
Adam22
A830019P07Rik
AC118724.1
Kcnk10
Pex7
Mindy3
Mtus2
Dnajc6
Trip4
Kif26b
1500004A13Rik
Rerg
Zdhhc22
Glis1
Rora
Asxl3
Kdm5d
Asic2
A330049N07Rik
1700123M08Rik
Neo1
Car2
Pla2g4e
Pak7
Znrf3
Cd46
Adamtsl1
Arntl
Clmn
Hecw1
Rnf180
Slc38a6
Commd10
Galk2
Sh3d19
1110019D14Rik
Ino80dos
Mrps28
Vamp9
Tasp1
Nxpe3
Vps8
Rorb
9530051G07Rik
Fah
Fam155a
Tenm1
1110051M20Rik
Lrrc49
Mipep
Tbc1d32
Arhgap24
Zfp810
Ercc6l2
Apex2
Slc4a10
4930432B10Rik
Cdh19
Ctnna2
Phactr3
Ptprz1
Lcorl
Folh1
Nup210
Thsd4
Zfand4
Iqck
Ogdh
Rab31
Kctd3
Mthfd1l
Trappc9
Chst9
Slc41a2
9530052E02Rik
Tmem163
Hapln2
Nell2
Rnf144a
Cda
Fam228b
Hecw2
Pde4d
E130308A19Rik
Cdca7l
Ehbp1
Ndc1
D430041D05Rik
Osbpl6
Tnfsf13b
Ccdc15
Trdmt1
Wwox
Drd2
Plcb4
Syt14
Cit
Unc80
5031425E22Rik
Stmn4
Babam2
Xrcc5
B230217O12Rik
Kyat3
Fam120c
Plcl1
Camk2d
Catspere2
Cntn3
Chchd6
Mgat5b
Ppp3ca
Atxn1
Ccdc34
Psmb7
March3
Fktn
Kcnmb2
Cyp2j6
Fam228a
Rmst
Cpped1
Prkd1
Arid5b
9330111N05Rik
Ocrl
Arhgef10
Hdlbp
Rps6ka5
Pcyt1b
Tmem196
Fbxl21
Me2
Dync2h1
Ermard
Atg4a
Ica1l
Sh3rf2
Dhx32
Pinx1
Gpc5
Fam189a1
Phlpp1
Gabrg1
Scai
Btbd9
Farsb
Stk39
Skap2
Cdh2
Fryl
Lsamp
Rnf182
Nox4
Ptprd
Cryl1
Lhfpl3
Rnf13
Coq3
Pax6
Fnbp1
Cdkal1
Yeats2
Grm2
Hhat
Parg
Lair1
Dscam
Atg4c
Clvs1
Adam32
Creg1
Jpx
Setd3
Unc5c
Dennd1a
Lrch1
Slc44a5
Ccdc91
Rpgr
Hhip
Vwa8
Eefsec
Grid2
BC051142
Nol10
1700012D14Rik
Hs2st1
Fam172a
Tom1l1
Kcnd2
March1
Tmem260
A630089N07Rik
Ano4
Ano3
Slc35f4
Mettl25
Fbxw4
Oxct1
Rngtt
Cdh13
Olfml1
Zmat1
Syt16
Atrnl1
Ttc28
Fars2
Hlcs
6030443J06Rik
Platr25
Rft1
Id4
Ispd
Btbd11
Snx24
Spag5
Bora
Csmd3
Micu3
Gpc6
Kcnip4
Pex5l
Rffl
Armh3
2010111I01Rik
Upp2
Rgs20
Prmt3
Acaca
Ap1b1
Kctd8
Pdss2
Prkg1
Rpe
Ctbs
Fam69a
Cdk14
Gabrg3
Ppfibp2
Ccdc134
Gfm2
Man1a2
Dgkb
Paqr8
Lrrc7
Dpp10
Top3a
Gnao1
Pcdh9
Aatf
Baz2b
Sorcs2
Ttll5
Gpatch2
Ahcyl2
Sp4
1110008L16Rik
Zswim5
Nox1
Spink10
BC052040
Emb
Mphosph9
Calb2
Nrxn1
4930592A05Rik
D930016D06Rik
Lin52
Enah
Fbn1
Wdr37
Tpst1
Pcx
Gabrr2
Efhd1
Cystm1
Adgrb3
Rtn4rl1
Zbtb7c
Insc
Unc79
Cntln
Gpm6b
Rpa1
Npcd
Slc8a3
2210408I21Rik
Col26a1
A230009B12Rik
Sgcz
Sntg1
Usp40
Hacd2
Gsto1
Uty
Slc8a1
Fto
Focad
E130307A14Rik
Wdpcp
Zfat
Parn
Gphn
Slc4a4
Zfhx4
Bmpr1a
Agap1
Kcnq3
Wdr41
Fbxo8
Uri1
Brca2
Adgrl2
Arhgef33
Tmlhe
Gpr37
Zfp112
Hspa12a
Zfp961
Rhbdd1
Vti1a
Cyp2j12
Nalcn
Lrrc4c
Zc3h12b
Lingo2
Patj
Txndc16
Fa2h
AC148019.2
Ppp1r9a
Lekr1
Zc3h6
Jam3
Dtd1
Smg6
2700049A03Rik
Wdhd1
Mtmr3
Dnah7b
Camkmt
Wdr70
Brwd1
Dcaf6
Pate2
Olfr1564
Atg10
Atxn10
Lyrm4
Ofd1
Ranbp17
Hmgcll1
Phgdh
Plek
Mapk4
Acer3
Rab28
Rabgap1l
Ppa2
Disp1
Prickle2
Xrcc4
Astn2
Tmem150c
Dcaf5
Zfp521
Adamts17
Gstcd
Jazf1
Ldlrad4
Prickle1
Fyn
Ank2
Ralgps1
Dcp1b
Gli2
Tmem178b
Zmat4
Kcnh5
Mbd5
Rnf152
Grin2b
Lclat1
A230006K03Rik
Lrp1b
Anks1b
Dock7
Acss1
Spats2l
7630403G23Rik
Gabbr2
Prkcb
D10Wsu102e
Srgap1
Dtna
Borcs5
0610010F05Rik
Slc22a15
Stard9
Trio
Tusc3
C130060C02Rik
1700087I21Rik
Agbl4
Cenpp
AC115119.1
Gucy1a2
Kcnma1
Prdm10
Ccdc14
Cdc42bpa
Efcab2
Camta1
Bdh1
Phkb
Dgki
Gpr158
Adat1
Kdm3b
Prkdc
Sobp
Tspan2
Mcph1
Gca
Nbea
Sdk1
Ppp1r12b
Mir99ahg
Camk1d
Map2k5
Tsga10
Zpbp
Tmem117
Ccdc62
Dis3l2
Erich3
Gsap
Ninj2
Meis2
Nexmif
Il18
Vps53
Aig1
Arl3
B230110C06Rik
Htt
Syne1
Ppm1e
Cttnbp2
Wdr33
Emid1
Pcbp3
Six3os1
Clasp2
Ptprn2
Fancc
Dzank1
Tbcel
C230014O12Rik
Myo5c
Pigg
Kndc1
Jarid2
Srsf12
Ankrd28
Ncapd3
Ano2
Slc20a2
Kdm4d
Cdkl2
Ric8b
Stx8
Plxnb3
Me1
BC004004
Pou2f1
Gabrb3
Wdr27
Snx29
Ubtd2
Atp9b
Frmd4a
Itsn1
Sfmbt2
Snx30
Tbc1d5
Qdpr
Hibadh
Fras1
Wdr89
B3gnt2
Map7
Rcan2
Esrrb
Kcnj3
Magi2
Ankfy1
Pcca
Txndc11
Zfyve28
Catsper2
Msra
Vipr2
Polr3b
Rnf150
Cradd
Arsj
Ccdc85a
Fer
Mpc2
Pbx3
Slc24a3
Trim9
Tdrd3
Sh3kbp1
Als2
Elp4
Rpap2
Sgk1
Slc25a26
Ddhd1
Soga3
Otx2os1
A330033J07Rik
Fam214a
Acsl3
Slc39a11
