Shisa7
Unc5d
Tox3
Ppp2r2b
Plppr5
Pde11a
Sidt1
Osbpl3
Rab27b
Eya4
Snd1
Cntn5
Lrrc4
Slc24a3
Pde9a
Hunk
Dlgap2
Mpped1
Plxnc1
Rnf112
Chka
Dclk1
Mical3
Unc13a
Sel1l3
Thrb
Zdhhc14
Khdrbs3
Prkab2
Pde10a
Mb21d2
Etv5
Gabbr2
Man1c1
Mpp6
Nmt2
Rimbp2
Dscaml1
Runx2
Cntnap4
Cers6
Htr2a
Ank
Plcxd3
Vstm2b
Gria1
Col25a1
Adra1a
Ptpro
Fam19a2
Ntrk3
Hcn1
Ptpre
Enox1
Pvt1
Pknox2
Dock11
Cntnap5c
C230057M02Rik
Tmem132d
Cpne6
Prkca
