Il11ra1
Hecw1
Zfp219
Usp16
Shisa7
Rogdi
Cdk11b
Slc22a17
Fam78a
Arel1
Celsr2
Nova1
Atrn
Ntrk2
Engase
Scrn1
Elavl3
Gjd2
Apex2
Fam43b
Ripk2
BC003965
Ptpre
Lrrn2
Bzw2
Gyg
Phf1
2900060N12Rik
Ppp1r12c
Lpcat1
A330074K22Rik
2810006K23Rik
A830082K12Rik
Tmem147os
Mfsd9
Hs6st1
Xpa
Zfp287
Adrb1
Macrod2
Gmpr2
Slc32a1
Tsr3
A230083G16Rik
Klf12
Mettl1
Haghl
Cntn6
Sprn
Atg14
Sfi1
Grhpr
Josd1
Kctd20
Tpd52l2
Akirin1
Lig4
Tonsl
Auts2
Dcakd
Arl10
Sec14l2
Bag2
Wipf2
Ndufaf1
Hapln1
Ppp1r12b
Vegfb
Jakmip2
Tnik
Hdhd2
Cox18
Samm50
Elmo3
Ppm1k
Gna15
Vars2
Zfp148
Vps51
Slc9a9
Rbm4b
Mettl22
Slc41a2
Jmjd4
Zfp931
Fam50a
Alg5
Tceanc2
2700097O09Rik
Zdhhc5
Zfp672
Zkscan5
4921511C10Rik
Hibadh
Tmem50b
Zfp384
Emg1
Pitpnm3
Dennd1b
Vrk1
1700120C14Rik
Agtpbp1
Sync
Becn1
Rftn2
Sv2a
Syp
Npas1
Sag
Zbtb49
Kcnk3
Tmem110
Dlg2
Kmt2b
Raf1
Ankrd13b
E430024I08Rik
Ptpro
Endov
Sbk1
Caln1
Nav2
Wasf1
Zfp772
Ptpn5
Txndc16
Ric8b
Sgce
Afap1
Arfgap1
Faim
Znrd1
Rassf6
Rps13
Wdr20
Sos1
Pdss1
Utp4
Gjb6
Ints1
Oxsm
Prpsap1
Map2k2
Ahr
Slc16a11
Ppp2r5d
Mapre3
Prkra
Spsb1
Ippk
1700012D14Rik
Micu1
Coq2
Nkain2
Mdh1
Kctd3
Mcm7
Ints6l
Rnf31
Fbf1
Dexi
Srrm2
Ndufa9
Meg3
Brd3os
Sntg1
Mvb12b
Frrs1l
Tnk2
Gigyf1
Man2c1os
Bahd1
Bcl7c
Mllt11
Hcn4
4933412O06Rik
6330409D20Rik
Gpr19
Khdrbs3
Pdia6
Exosc10
Tmod2
Cand2
Bicd2
Phrf1
Dlx1
A730090N16Rik
B230334C09Rik
Ddx24
Tada2a
Zc3h14
Ncoa2
Klc1
Ppp6r2
Bbip1
Rac3
Tmc4
Tppp
Phtf1os
Hif1an
Vps9d1
Tbc1d19
L3mbtl1
Hif3a
Mir124a-1hg
Hikeshi
Slc35a3
Cdh4
Ccnk
Mgat3
Tcof1
Prdm11
4930470G03Rik
Nicn1
Rnaseh2c
Exoc7
Recql5
Uck1
Kpna6
Tsc2
Klc4
Sdsl
Ttbk1
Ccdc84
Wbp1l
Cacfd1
Fam57b
Klhdc3
Kif3a
Prcc
Trp53i11
Synpo
Ncoa5
Impa2
Drp2
Bicral
Pip4k2c
Pnpla3
Arid1b
Fmn1
Peg10
Ipmk
Pkd1l3
Rtca
Psmd5
Lhfpl4
Pcyox1l
Unc79
Pla2g12a
Smap2
Nop56
Csmd1
Calcoco1
Ppa1
Ahsa1
Gabarapl2
Dok7
Ankrd11
Brsk1
Pomgnt2
Vps37b
Dcaf17
Asb7
Lemd2
Gtf2ird1
Cadm3
Ppt1
Sat1
Dnajc18
Akt2
Fbxo31
Zfp507
Lhx2
Neil1
Azin2
Rabgef1
Kit
Nudt13
Tysnd1
Fahd1
Sugp1
Lrrtm4
Tmed2
Vps29
Scfd2
Slc27a4
Phf20
Bicd1
Khdc4
BC030500
Zmynd11
Il4i1
Qsox1
E230016M11Rik
Nasp
Lmnb2
Tfam
Capn10
Nsmf
Dot1l
2900052N01Rik
Nfkbid
Ncapd2
Nars2
Alg12
Zfp141
Eef1e1
Zfp454
Galns
Adgra1
Uckl1
5830418P13Rik
Snx27
Rad51c
Fam173b
Rai2
Cnot3
Dffa
Mfap3
Ica1
Trub2
Mapk4
Prrg3
Ciz1
Rasa4
Cnnm3
Chd9
Ccdc184
Zfp397
Npl
Fbxl2
Plppr2
D230025D16Rik
Tial1
Smap1
Nif3l1
Dpysl2
Tmem121
Nrd1
Nup210
Kmt5a
Ldb3
Asap1
Bsdc1
Ntng2
Pdcd11
Ankrd39
St8sia3os
Zzef1
Noc3l
Cptp
Dpyd
Tubg2
Fam13c
Ccni
Slc25a26
Fam98c
Plxna3
Atg4d
Fam20b
Gls2
Mphosph9
Parp16
Rbms3
Sec24a
Terf2
Arih2
Acot7
Pnldc1
Prrc2a
Ccdc149
Gfm2
Vps45
Gtf2e1
Srgap3
Ptprn
2500002B13Rik
Yipf1
Casp2
Pigq
Fut9
Psma3
Them4
Efnb3
L3mbtl3
Adssl1
Aasdh
Bbof1
Safb
Nphp4
Fdxacb1
Sptb
Adamtsl1
6330411D24Rik
Ep300
Top1
Prune2
Vamp2
Pex5
Camkv
Spag4
Rpp40
Fastkd3
Ube2d2a
Gpr68
Dnhd1
Macrod1
Grk3
Tatdn3
Armc9
Mmp17
Bid
Cacnb4
Rev1
Herc3
Btbd3
Acad10
Tbc1d24
Chst12
Slc12a5
Rasal2
Asap2
Eme2
Dffb
Map3k15
Rrs1
A430035B10Rik
Zfp846
Thpo
Ankrd54
Lrrc28
Pnkp
Zim3
Rcc1l
Fndc5
Gtpbp3
Adck2
Uggt2
Zmynd19
Capn15
Zfp599
R3hdm1
Ccl25
Golga4
Prr36
Pthlh
Sgcd
Nap1l4
Spred3
Rnps1
Gnal
9330159M07Rik
4930556J24Rik
Cpsf6
Scn1a
Snx16
Pcbp4
Abca5
Tigar
Tha1
Ttc27
Cds1
Mtfr1l
Cep152
Map3k6
Zfp213
Rnaseh1
Smim17
Pkm
H2afy
Tanc2
Fcnaos
Prelid3a
Rnf145
Adat2
Tmem240
Kctd9
Ttc38
Papss2
Grm5
Mfsd10
Zfp251
Kdm4b
Htt
Pgam5
Plekhh1
Cdh24
Klhdc4
Bend6
AC098707.1
Pcgf5
Apbb1
Nxf1
Fbxo42
Hars
Syt11
Slc8a3
Pard6b
Pus10
Agap1
Cacna1b
Pdcd7
Myo18a
Mpv17l
Plvap
Taf6
Stard5
Exoc1
Srcin1
Cars
Celf4
Sipa1l3
Mark2
Ube2d1
Myt1l
Mrm3
Tbcd
Slx4
Zbtb7b
Trmt1
Rcc1
Tm6sf1
Btbd1
P4htm
Prox2os
Atp8a1
Tunar
Kctd7
Zpr1
Snrnp70
Dnaja1
Atcayos
Fndc3a
Uqcc1
Lrtm2
Slx4ip
Nudcd1
Fgf10
Rec114
Acap2
Birc6
Dtx2
Ubr4
Necap2
Dhx37
Eqtn
Dusp26
Ifrd2
Zfp385b
Ntrk3
Mterf1a
Trap1
Ccdc186
Enpp6
Homez
Brinp2
Acad11
Ola1
Tada1
Ncf2
Pdcd2
Vrk3
Srpk2
Bcl2l13
9530059O14Rik
Camsap1
Gpatch8
Mpp3
Slc35f4
Fkbp5
Pigb
Ptcd1
Mlxip
Agk
Pi4k2a
Dyrk1a
Mark4
Pdhb
Gpr176
Katnb1
Cdc25b
Itgad
Hecw2
Smg9
Rhno1
Tiam1
Mgat5
Nit1
P4ha2
Gabra5
Zwilch
Prmt2
Ago1
Hbs1l
4930549G23Rik
Txndc9
Palld
Cnot8
Socs7
Nkiras2
E130307A14Rik
Cbx2
Casp3
Tpst1
Cep19
Ttc17
Chd6
Map3k13
Vopp1
Deaf1
Fam208b
Nt5dc3
Snx30
Hells
Tatdn1
Acrbp
Syt7
Dnttip1
Zyg11b
Vcl
St6galnac4
Hsp90b1
Enah
Fubp3
Pfkfb4
Zfp618
