baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
63.553748622871574,0.11735256005616448,0.20478948808698239,0.5730399599725553,0.5666176379193398,0.8361833383586265
221.83938740153258,-0.09251738969042884,0.12962136839517818,-0.7137510646267057,0.4753811240590135,0.7856071845672774
32.86302544355604,-0.12810245081677507,0.33705351733194205,-0.380065610443149,0.7038967126178344,0.9002166543572474
2409.3141348206927,0.05717955434923003,0.10588969626846166,0.5399916740176774,0.589202774341473,0.8470026671800468
56.5396392479249,-0.04573480987073409,0.23724179853084112,-0.1927772009568062,0.8471334595581033,0.952698144088905
395.08157969882956,0.1395784552107238,0.1308402616622265,1.0667852038622145,0.2860688414838958,0.6668482236361761
42.43500656191942,-0.09083115500550197,0.2580993658930818,-0.3519232009393195,0.7248958590195118,0.9082644704294889
350.7123052446898,-0.03170962889472971,0.1758815497014349,-0.18028968330423467,0.8569251544963535,0.957113460492948
302.8012466199358,-0.07302254919599523,0.16585522109085796,-0.4402788692192716,0.6597351431709482,0.8821131563999238
314.4786984739958,-0.06287503215039197,0.1930319157191927,-0.32572350492473745,0.7446335588905134,0.9144843643822068
25.935797214645177,-0.24256082516653057,0.5954950623420159,-0.4073263415695939,0.6837683183539792,NA
314.0298694682484,-0.1289715772660068,0.14542507077743153,-0.8868593054590548,0.375154653457395,0.7269833498574879
1021.5981130027648,0.27521274568502313,0.11381003958792052,2.4181763461422556,0.015598515219778975,0.27770707505398057
411.4009822199816,0.061680143139192574,0.1064530230337198,0.5794118511754703,0.5623113094066157,0.8337059020481519
68.6423941403875,-0.056121155450858384,0.2024528924834761,-0.27720599474981034,0.7816219367956342,0.9275680183221939
23.63915692321188,0.18840263096065732,0.32117558864313434,0.5866032090315427,0.5574702269576834,NA
71.7540550007044,0.06525915443828476,0.3782974468091189,0.17250752017687598,0.8630385497423607,0.9593802880873745
103.00406458979681,0.06212323082968177,0.270091199301068,0.23000834899634628,0.8180852820747389,0.9419847168599488
60.02647905583472,-0.30721916768896385,0.2533084517796443,-1.2128263606309397,0.22519621473355556,0.6228782368988178
948.9178164050084,-0.4756927372744894,0.16387225921421258,-2.902826503738302,0.003698114469979758,0.14967112177977726
65.997962266928,0.5309912071972319,0.19881063104930213,2.670839101484235,0.007566190488066359,0.20339788971405479
223.51314109217415,-0.4510233664719432,0.18263567277392748,-2.469525036492925,0.013529255090533734,0.2626479082820307
100.9896029423892,0.25940556048675917,0.2824531716101369,0.9184020098199154,0.3584084388975077,0.7157452785567819
72.69182191881609,-0.24176910645747018,0.2137677613539119,-1.1309895604753961,0.2580594854015362,0.6465950799321617
131.66505670825643,0.2555248169458517,0.16546302321815534,1.5443016329331423,0.1225152771810958,0.529748050483463
3746.3057760479956,0.07714604008380267,0.11711309885414029,0.6587310970217345,0.5100684602658522,0.8070552082644712
814.6536115549309,-0.06928274917863936,0.08535920818570682,-0.81166110430533,0.41698611874122127,0.7519434065661676
101.95530757464749,-0.21732085911004576,0.17542389180936682,-1.2388327317821017,0.21540744947757287,0.6151494605485497
28.402148562504564,0.3872947054525332,0.3202247947791673,1.209446338218808,0.22649141532680608,NA
523.1574013640005,0.2616779959668521,0.1435436646062297,1.82298533818744,0.06830561155070476,0.4514124524371992
132.05952142943934,0.24838039740629045,0.16828842935268198,1.4759208245134892,0.13996514837190302,0.5485999643563263
25.602324918353276,-0.6207183555508711,0.31534657779474456,-1.9683687702959296,0.04902562247072314,NA
103.70434438164739,-0.27882475951128144,0.28205664203618436,-0.988541725159983,0.3228874101311615,0.6904398034733045
23.28945102482477,-0.13496125366850556,0.4706376206951176,-0.28676257004098366,0.7742941245423479,NA
1045.9813308881796,0.17853396412941933,0.1773590199979438,1.0066246652213637,0.3141151768717447,0.6850346701380312
184.19359318798794,0.022037697658309364,0.17643336158717068,0.12490663591092531,0.9005974648211019,0.9706450418206264
355.45229443688436,0.18395895922412417,0.1997901449120411,0.9207609279482393,0.35717525832111086,0.7151315291532594
328.84155307295896,0.07974610738019092,0.11537852226184621,0.6911694292566065,0.48945907298239394,0.7942559517929121
59.28977660752065,-0.36910999523590576,0.3072705446255949,-1.2012540794811992,0.22965265737225626,0.6258550758764204
77.33890518323828,-0.5188109675298508,0.31693056107167067,-1.6369862400632513,0.10163334469288174,0.5021286874372821
140.035228229573,0.31516100504011657,0.16800183509133496,1.8759378721594193,0.06066381146315294,0.4354849913093001
38.88516899595454,0.005094164984312326,0.33249433956427127,0.01532105776894774,0.9877760427842401,0.9953731852877331
31.75792655521469,0.30178904849163585,0.33479688897374604,0.9014093572276336,0.36737070806999494,NA
28.12863676833294,0.09368252102924686,0.3114668531428022,0.30077846192607544,0.7635834332264947,NA
274.8127854225681,-0.37764850232066394,0.18676650088234056,-2.0220355392243254,0.043172680480013575,0.398022161320528
174.40810321840107,-0.32392483992979354,0.23189673765773092,-1.3968494908621436,0.16245883607288664,0.5701903752415097
232.56770224485854,-0.08862889148485,0.1578612688370591,-0.561435316830823,0.5745008138636931,0.8407427807255563
686.2670122042714,-0.06945496802654773,0.12727897743238953,-0.5456908079218513,0.5852784915626585,0.8445346636634468
21.32176247253864,0.007888108237159864,0.44072566324686513,0.017898000717833106,0.9857202239555781,NA
54.24371637158404,-0.09054661633028195,0.2792137382735776,-0.3242914080451267,0.7457174239020405,0.9145271388184331
116.96953921244224,-0.5014609206392203,0.19172467668759005,-2.615526229084933,0.008909007836242122,0.22223116589664962
41.427006115262465,0.02279678895226164,0.3656899650739551,0.06233911545166776,0.9502927794095711,0.9845934593857975
