Sox2ot
Olfm3
Tmeff1
Myo1d
Sipa1l2
Htr2a
Eogt
St8sia4
Slc4a10
Rlf
Btbd10
Myo1e
Stxbp5l
Zcchc2
Osbpl10
Fto
Exd2
Slc2a13
Fkbp15
Pias1
Stat5b
Hs3st5
Efl1
Hif1a
Ascc2
Ptprm
Patj
Sema5b
Cdk19
Lrrc49
Slc35f3
Fstl4
Strip2
Kcnh5
Strn
